Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
a_t2_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_chong2yang2jie2.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,1,,,
a_t2,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_chong2yang2jie2.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,1,,,
a_t3_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_jiang3yan3gao3.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,2,,,
a_t3,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_jiang3yan3gao3.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,2,,,
a_t1_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_kai1tian1chuang1.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,3,,,
a_t1,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_kai1tian1chuang1.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,3,,,
a_t4_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_zhao4shu4qing4.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,4,,,
a_t4,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/a_w3_zhao4shu4qing4.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,4,,,
j_t2_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_chong2yang2jie2.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,5,,,
j_t2,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_chong2yang2jie2.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,5,,,
j_t1_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_kai1tian1chuang1.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,6,,,
j_t1,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_kai1tian1chuang1.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,6,,,
j_t3_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_li3xiao3bao3.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,7,,,
j_t3,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_li3xiao3bao3.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,7,,,
j_t4_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_zhao4shu4qing4.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,8,,,
j_t4,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/j_w3_zhao4shu4qing4.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,8,,,
n_t3_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_jiang3yan3gao3.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,9,,,
n_t3,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_jiang3yan3gao3.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,9,,,
n_t4_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_jiao4yu4bu4.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,10,,,
n_t4,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_jiao4yu4bu4.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,10,,,
n_t1_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_xing1qi1tian1.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,11,,,
n_t1,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_xing1qi1tian1.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,11,,,
n_t2_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_yang2cheng2hu2.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,12,,,
n_t2,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/n_w3_yang2cheng2hu2.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,12,,,
s_t4_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_bi4ye4hou4.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,13,,,
s_t4,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_bi4ye4hou4.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,13,,,
s_t2_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_chong2yang2jie2.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,14,,,
s_t2,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_chong2yang2jie2.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,14,,,
s_t3_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_jiang3yan3gao3.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,15,,,
s_t3,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_jiang3yan3gao3.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,15,,,
s_t1_desc,survey_instrument,,descriptive,"Audio will be hosted at: https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_shou1yin1ji1.wav<br>After uploading to GitHub Pages, the audio will stream inline.",,,,,,NO,,,,16,,,
s_t1,survey_instrument,,radio,"<audio controls preload=""auto""><source src=""https://<YOUR_GITHUB_USERNAME>.github.io/<REPO_NAME>/audio/s_w3_shou1yin1ji1.wav"" type=""audio/wav"">Your browser does not support the audio element.</audio><br>Which tone does this statement feel?","1, Joyous | 2, Angry | 3, Sad | 4, Commanding | 5, Surprised | 6, Melancholy | 7, Neutral | 8, Guilty",,,,,NO,,Y,,16,,,
